Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C232,0.1uF,C_0402_1005Metric,253.13,-145.95,0.0,top
C233,0.1uF,C_0402_1005Metric,261.13,-145.95,0.0,top
C234,0.1uF,C_0402_1005Metric,269.13,-145.95,0.0,top
C235,0.1uF,C_0402_1005Metric,277.13,-145.95,0.0,top
C236,0.1uF,C_0402_1005Metric,285.13,-145.95,0.0,top
C237,0.1uF,C_0402_1005Metric,293.13,-145.95,0.0,top
C238,0.1uF,C_0402_1005Metric,301.13,-145.95,0.0,top
C239,0.1uF,C_0402_1005Metric,309.13,-145.95,0.0,top
C24,0.1uF,C_0402_1005Metric,325.13,-89.95,0.0,top
C240,0.1uF,C_0402_1005Metric,317.13,-145.95,0.0,top
C241,0.1uF,C_0402_1005Metric,325.13,-145.95,0.0,top
C242,0.1uF,C_0402_1005Metric,333.13,-145.95,0.0,top
C243,0.1uF,C_0402_1005Metric,341.13,-145.95,0.0,top
C244,0.1uF,C_0402_1005Metric,349.13,-145.95,0.0,top
C245,0.1uF,C_0402_1005Metric,357.13,-145.95,0.0,top
C246,0.1uF,C_0402_1005Metric,365.13,-145.95,0.0,top
C247,0.1uF,C_0402_1005Metric,373.13,-145.95,0.0,top
C248,0.1uF,C_0402_1005Metric,381.13,-145.95,0.0,top
C249,0.1uF,C_0402_1005Metric,387.15,-145.575,0.0,top
C25,0.1uF,C_0402_1005Metric,333.13,-89.95,0.0,top
C250,0.1uF,C_0402_1005Metric,149.13,-153.95,0.0,top
C251,0.1uF,C_0402_1005Metric,157.13,-153.95,0.0,top
C252,0.1uF,C_0402_1005Metric,165.13,-153.95,0.0,top
C253,0.1uF,C_0402_1005Metric,173.13,-153.95,0.0,top
C254,0.1uF,C_0402_1005Metric,181.13,-153.95,0.0,top
C255,0.1uF,C_0402_1005Metric,189.13,-153.95,0.0,top
C256,0.1uF,C_0402_1005Metric,197.13,-153.95,0.0,top
C257,0.1uF,C_0402_1005Metric,205.13,-153.95,0.0,top
C258,0.1uF,C_0402_1005Metric,213.13,-153.95,0.0,top
C259,0.1uF,C_0402_1005Metric,221.13,-153.95,0.0,top
C26,0.1uF,C_0402_1005Metric,341.13,-89.95,0.0,top
C260,0.1uF,C_0402_1005Metric,229.13,-153.95,0.0,top
C261,0.1uF,C_0402_1005Metric,237.13,-153.95,0.0,top
C262,0.1uF,C_0402_1005Metric,245.13,-153.95,0.0,top
C263,0.1uF,C_0402_1005Metric,253.13,-153.95,0.0,top
C264,0.1uF,C_0402_1005Metric,261.13,-153.95,0.0,top
C265,0.1uF,C_0402_1005Metric,269.13,-153.95,0.0,top
C266,0.1uF,C_0402_1005Metric,277.13,-153.95,0.0,top
C267,0.1uF,C_0402_1005Metric,285.13,-153.95,0.0,top
C268,0.1uF,C_0402_1005Metric,293.13,-153.95,0.0,top
C269,0.1uF,C_0402_1005Metric,301.13,-153.95,0.0,top
C27,0.1uF,C_0402_1005Metric,349.13,-89.95,0.0,top
C270,0.1uF,C_0402_1005Metric,309.13,-153.95,0.0,top
C271,0.1uF,C_0402_1005Metric,317.13,-153.95,0.0,top
C272,0.1uF,C_0402_1005Metric,325.13,-153.95,0.0,top
C273,0.1uF,C_0402_1005Metric,333.13,-153.95,0.0,top
C274,0.1uF,C_0402_1005Metric,341.13,-153.95,0.0,top
C275,0.1uF,C_0402_1005Metric,349.13,-153.95,0.0,top
C276,0.1uF,C_0402_1005Metric,357.13,-153.95,0.0,top
C277,0.1uF,C_0402_1005Metric,365.13,-153.95,0.0,top
C278,0.1uF,C_0402_1005Metric,373.13,-153.95,0.0,top
C279,0.1uF,C_0402_1005Metric,381.13,-153.95,0.0,top
C28,0.1uF,C_0402_1005Metric,357.13,-89.95,0.0,top
C280,0.1uF,C_0402_1005Metric,387.15,-153.575,0.0,top
C281,0.1uF,C_0402_1005Metric,149.13,-161.95,0.0,top
C282,0.1uF,C_0402_1005Metric,157.13,-161.95,0.0,top
C283,0.1uF,C_0402_1005Metric,165.13,-161.95,0.0,top
C284,0.1uF,C_0402_1005Metric,173.13,-161.95,0.0,top
C285,0.1uF,C_0402_1005Metric,181.13,-161.95,0.0,top
C286,0.1uF,C_0402_1005Metric,189.13,-161.95,0.0,top
C287,0.1uF,C_0402_1005Metric,197.13,-161.95,0.0,top
C288,0.1uF,C_0402_1005Metric,205.13,-161.95,0.0,top
C289,0.1uF,C_0402_1005Metric,213.13,-161.95,0.0,top
C29,0.1uF,C_0402_1005Metric,365.13,-89.95,0.0,top
C290,0.1uF,C_0402_1005Metric,221.13,-161.95,0.0,top
C291,0.1uF,C_0402_1005Metric,229.13,-161.95,0.0,top
C292,0.1uF,C_0402_1005Metric,237.13,-161.95,0.0,top
C293,0.1uF,C_0402_1005Metric,245.13,-161.95,0.0,top
C294,0.1uF,C_0402_1005Metric,253.13,-161.95,0.0,top
C295,0.1uF,C_0402_1005Metric,261.13,-161.95,0.0,top
C296,0.1uF,C_0402_1005Metric,269.13,-161.95,0.0,top
C297,0.1uF,C_0402_1005Metric,277.13,-161.95,0.0,top
C298,0.1uF,C_0402_1005Metric,285.13,-161.95,0.0,top
C299,0.1uF,C_0402_1005Metric,293.13,-161.95,0.0,top
C3,0.1uF,C_0402_1005Metric,157.13,-89.95,0.0,top
C30,0.1uF,C_0402_1005Metric,373.13,-89.95,0.0,top
